,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
858,CVS,investments,-235000000.0,-669000000.0,-954000000.0,-585000000.0
859,CVS,changeToLiabilities,2271000000.0,1126000000.0,576000000.0,-726000000.0
860,CVS,totalCashflowsFromInvestingActivities,-847000000.0,-1107000000.0,-1867000000.0,-1234000000.0
861,CVS,netBorrowings,-1413000000.0,-2626000000.0,-2797000000.0,-3099000000.0
862,CVS,totalCashFromFinancingActivities,-1967000000.0,-3314000000.0,-3244000000.0,-3735000000.0
863,CVS,changeToOperatingActivities,1436000000.0,505000000.0,259000000.0,828000000.0
864,CVS,issuanceOfStock,110000000.0,118000000.0,212000000.0,15000000.0
865,CVS,netIncome,1598000000.0,2783000000.0,2223000000.0,973000000.0
866,CVS,changeInCash,2707000000.0,1426000000.0,-2219000000.0,-1402000000.0
867,CVS,repurchaseOfStock,-2000000.0,-156000000.0,-3000000.0,-13000000.0
868,CVS,totalCashFromOperatingActivities,5521000000.0,5847000000.0,2892000000.0,3567000000.0
869,CVS,depreciation,1134000000.0,1137000000.0,1126000000.0,1139000000.0
870,CVS,otherCashflowsFromInvestingActivities,23000000.0,72000000.0,72000000.0,96000000.0
871,CVS,dividendsPaid,-659000000.0,-650000000.0,-656000000.0,-644000000.0
872,CVS,changeToInventory,-420000000.0,638000000.0,879000000.0,-1018000000.0
873,CVS,changeToAccountReceivables,-1120000000.0,-291000000.0,-2093000000.0,2054000000.0
874,CVS,otherCashflowsFromFinancingActivities,-3000000.0,-3000000.0,-3000000.0,6000000.0
875,CVS,changeToNetincome,622000000.0,-51000000.0,-78000000.0,317000000.0
876,CVS,capitalExpenditures,-608000000.0,-486000000.0,-829000000.0,-713000000.0
877,DD,changeToLiabilities,147000000.0,140000000.0,92000000.0,134000000.0
878,DD,totalCashflowsFromInvestingActivities,-2398000000.0,1931000000.0,-2260000000.0,-237000000.0
879,DD,totalCashFromFinancingActivities,-665000000.0,-2798000000.0,-2458000000.0,-2592000000.0
880,DD,changeToOperatingActivities,148000000.0,-64000000.0,-27000000.0,-132000000.0
881,DD,issuanceOfStock,2000000.0,18000000.0,90000000.0,23000000.0
882,DD,netIncome,391000000.0,478000000.0,5394000000.0,222000000.0
883,DD,changeInCash,-2242000000.0,-418000000.0,-4377000000.0,-1465000000.0
