,Ticker,Breakdown,Recent,Before_1,Before_2,Before_3
1856,MCD,operatingIncome,2419500000,2787700000,2564000000,2108500000
1857,MCD,otherOperatingExpenses,-400000,-400000,-400000,-6600000
1858,MCD,interestExpense,-295600000,-293700000,-296500000,-300000000
1859,MCD,extraordinaryItems,,,,
1860,MCD,nonRecurring,,,,
1861,MCD,otherItems,,,,
1862,MCD,incomeTaxExpense,469000000,541500000,156700000,415500000
1863,MCD,totalRevenue,6009100000,6201300000,5887900000,5124600000
1864,MCD,totalOperatingExpenses,3589600000,3413600000,3323900000,3016100000
1865,MCD,costOfRevenue,2748100000,2769900000,2668400000,2456300000
1866,MCD,totalOtherIncomeExpenseNet,-311700000,-96300000,-188000000,-155800000
1867,MCD,discontinuedOperations,,,,
1868,MCD,netIncomeFromContinuingOps,1638800000,2149900000,2219300000,1537200000
1869,MCD,netIncomeApplicableToCommonShares,1638800000,2149900000,2219300000,1537200000
1870,MCHP,researchDevelopment,245400000,246200000,238400000,228500000
1871,MCHP,effectOfAccountingCharges,,,,
1872,MCHP,incomeBeforeTax,441500000,264800000,297000000,144400000
1873,MCHP,minorityInterest,,,,
1874,MCHP,netIncome,352800000,242000000,252800000,116000000
1875,MCHP,sellingGeneralAdministrative,178100000,180500000,174900000,164200000
1876,MCHP,grossProfit,1153300000,1068300000,1007600000,926800000
1877,MCHP,ebit,514100000,425900000,378700000,301700000
1878,MCHP,operatingIncome,514100000,425900000,378700000,301700000
1879,MCHP,otherOperatingExpenses,,,,
1880,MCHP,interestExpense,-62100000,-64800000,-72300000,-78000000
1881,MCHP,extraordinaryItems,,,,
1882,MCHP,nonRecurring,,,,
1883,MCHP,otherItems,,,,
1884,MCHP,incomeTaxExpense,88700000,22800000,44200000,28400000
1885,MCHP,totalRevenue,1757500000,1649800000,1569400000,1467100000
1886,MCHP,totalOperatingExpenses,1243400000,1223900000,1190700000,1165400000
1887,MCHP,costOfRevenue,604200000,581500000,561800000,540300000
1888,MCHP,totalOtherIncomeExpenseNet,-72600000,-161100000,-81700000,-157300000
1889,MCHP,discontinuedOperations,,,,
1890,MCHP,netIncomeFromContinuingOps,352800000,242000000,252800000,116000000
1891,MCHP,netIncomeApplicableToCommonShares,352800000,242000000,252800000,116000000
1892,MCO,researchDevelopment,,,,
1893,MCO,effectOfAccountingCharges,,,,
1894,MCO,incomeBeforeTax,619000000,758000000,862000000,400000000
1895,MCO,minorityInterest,189000000,194000000,195000000,194000000
1896,MCO,netIncome,474000000,577000000,736000000,314000000
1897,MCO,sellingGeneralAdministrative,373000000,321000000,293000000,334000000
1898,MCO,grossProfit,1132000000,1188000000,1207000000,881000000
1899,MCO,ebit,698000000,807000000,855000000,490000000
1900,MCO,operatingIncome,698000000,807000000,855000000,490000000
1901,MCO,otherOperatingExpenses,,,,
1902,MCO,interestExpense,-52000000,-46000000,-46000000,-15000000
1903,MCO,extraordinaryItems,,,,
1904,MCO,nonRecurring,,,,
1905,MCO,otherItems,,,,
1906,MCO,incomeTaxExpense,145000000,181000000,126000000,86000000
1907,MCO,totalRevenue,1526000000,1553000000,1600000000,1290000000
1908,MCO,totalOperatingExpenses,828000000,746000000,745000000,800000000
1909,MCO,costOfRevenue,394000000,365000000,393000000,409000000
1910,MCO,totalOtherIncomeExpenseNet,-79000000,-49000000,7000000,-90000000
1911,MCO,discontinuedOperations,,,,
1912,MCO,netIncomeFromContinuingOps,474000000,577000000,736000000,314000000
1913,MCO,netIncomeApplicableToCommonShares,474000000,577000000,736000000,314000000
1914,MDT,researchDevelopment,676000000,750000000,632000000,601000000
1915,MDT,effectOfAccountingCharges,,,,
1916,MDT,incomeBeforeTax,1493000000,833000000,1566000000,1220000000
1917,MDT,minorityInterest,168000000,178000000,174000000,170000000
1918,MDT,netIncome,1311000000,763000000,1360000000,1270000000
1919,MDT,sellingGeneralAdministrative,2560000000,2491000000,2510000000,2481000000
1920,MDT,grossProfit,5381000000,5422000000,5568000000,5190000000
1921,MDT,ebit,1637000000,1665000000,1980000000,1652000000
1922,MDT,operatingIncome,1637000000,1665000000,1980000000,1652000000
1923,MDT,otherOperatingExpenses,77000000,80000000,80000000,3000000
1924,MDT,interestExpense,-136000000,-137000000,-142000000,-143000000
1925,MDT,extraordinaryItems,,,,
1926,MDT,nonRecurring,,,,
1927,MDT,otherItems,,,,
1928,MDT,incomeTaxExpense,176000000,64000000,200000000,-59000000
1929,MDT,totalRevenue,7847000000,7987000000,8188000000,7775000000
1930,MDT,totalOperatingExpenses,6210000000,6322000000,6208000000,6123000000
1931,MDT,costOfRevenue,2466000000,2565000000,2620000000,2585000000
1932,MDT,totalOtherIncomeExpenseNet,-144000000,-832000000,-414000000,-432000000
1933,MDT,discontinuedOperations,,,,
